,area,baths,beds,parking,date,price,property_type,agent_name,school_list,agent_low_price,village_name,number,clean_price,price_k,price_per_m^2
1057,299.0,3.0,4.0,2.0,Organise an inspection,"$545,000 - $565,000",Vacant land,Julian Rullo,"[{""school_name"": ""Norwood Morialta High School - Middle Campus - Morialta"", ""school_distance"": ""1.5 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/norwood-morialta-high-school-sa-5073-10828""}, {""school_name"": ""Magill School"", ""school_distance"": ""1.7 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/magill-primary-school-sa-5072-7165""}, {""school_name"": ""Norwood Morialta High School - Senior Campus"", ""school_distance"": ""1.8 km"", ""school_types"": "",Government"", ""href"": ""https://www.domain.com.au/school-catchment/norwood-morialta-high-school-senior-campus-sa-5072-50490""}]",500000,TRANMERE,5073,555000.0,555.0,1.8561872909698998
1060,299.0,1.0,2.0,1.0,Organise an inspection,"$549,000",Apartment / Unit / Flat,Josh Edgar,"[{""school_name"": ""Hampstead Primary School"", ""school_distance"": ""1.1 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/hampstead-primary-school-sa-5086-7079""}, {""school_name"": ""Roma Mitchell Secondary College"", ""school_distance"": ""2.9 km"", ""school_types"": ""U, 7-12"", ""href"": ""https://www.domain.com.au/school-catchment/roma-mitchell-secondary-college-sa-5094-6893""}, {""school_name"": ""Our Lady of the Sacred Heart College"", ""school_distance"": ""1 km"", ""school_types"": ""7-12"", ""href"": ""https://www.domain.com.au/schools/our-lady-of-the-sacred-heart-college-sa-5085-49704""}]",500000,BROADVIEW,5083,549000.0,549.0,1.8361204013377928
1091,760.0,2.0,3.0,7.0,Organise an inspection,"$530,000 - $550,000",Vacant land,Mike Lao,"[{""school_name"": ""Dernancourt School"", ""school_distance"": ""0.9 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/dernancourt-primary-school-sa-5075-6994""}, {""school_name"": ""Avenues College"", ""school_distance"": ""1.2 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/avenues-college-sa-5087-6860""}, {""school_name"": ""Adelaide East Education Centre"", ""school_distance"": ""2.1 km"", ""school_types"": ""U"", ""href"": ""https://www.domain.com.au/school-catchment/adelaide-east-education-centre-sa-5075-49559""}]",500000,HOLDEN HILL,5088,540000.0,540.0,0.7105263157894737
1093,418.0,2.0,3.0,2.0,Organise an inspection,"$530,000 to $560,000",Vacant land,Sale by home owner,"[{""school_name"": ""Hampstead Primary School"", ""school_distance"": ""0.6 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/hampstead-primary-school-sa-5086-7079""}, {""school_name"": ""Roma Mitchell Secondary College"", ""school_distance"": ""3.8 km"", ""school_types"": ""U, 7-12"", ""href"": ""https://www.domain.com.au/school-catchment/roma-mitchell-secondary-college-sa-5094-6893""}, {""school_name"": ""St Martin's Catholic Primary School"", ""school_distance"": ""1 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/schools/st-martins-parish-primary-school-sa-5086-7395""}]",500000,HAMPSTEAD GARDENS,5086,545000.0,545.0,1.3038277511961722
1263,360.0,,,,Organise an inspection,"$560,000 - $590,000",Vacant land,James Rawkins,"[{""school_name"": ""Norwood Morialta High School - Middle Campus - Morialta"", ""school_distance"": ""0.6 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/norwood-morialta-high-school-sa-5073-10828""}, {""school_name"": ""Magill School"", ""school_distance"": ""0.9 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/magill-primary-school-sa-5072-7165""}, {""school_name"": ""Norwood International High School"", ""school_distance"": ""1.5 km"", ""school_types"": ""7-12"", ""href"": ""https://www.domain.com.au/school-catchment/norwood-morialta-high-school-sa-5072-49470""}]",550000,MAGILL,5072,575000.0,575.0,1.5972222222222223
1264,360.0,2.0,4.0,2.0,"Saturday, 12:00pm","$595,000",Townhouse,Andrew Kuhlmann,"[{""school_name"": ""Paradise Primary School"", ""school_distance"": ""0.5 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/paradise-primary-school-sa-5075-7270""}, {""school_name"": ""Charles Campbell College"", ""school_distance"": ""0.7 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/charles-campbell-college-sa-5075-6806""}, {""school_name"": ""Thorndon Park Primary School"", ""school_distance"": ""2 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/thorndon-park-primary-school-sa-5076-7442""}]",550000,PARADISE,5075,595000.0,595.0,1.6527777777777777
1265,364.0,2.0,4.0,1.0,Organise an inspection,"$599,000 - $649,000",House,San Arora,"[{""school_name"": ""Charles Campbell College"", ""school_distance"": ""0.4 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/charles-campbell-college-sa-5075-6806""}, {""school_name"": ""Thorndon Park Primary School"", ""school_distance"": ""1.7 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/thorndon-park-primary-school-sa-5076-7442""}, {""school_name"": ""Adelaide East Education Centre"", ""school_distance"": ""0.5 km"", ""school_types"": ""U"", ""href"": ""https://www.domain.com.au/school-catchment/adelaide-east-education-centre-sa-5075-49559""}]",550000,NEWTON,5074,624000.0,624.0,1.7142857142857142
1270,270.0,1.0,3.0,1.0,Organise an inspection,"$585,000 - $605,000",House,Oliver Feng,"[{""school_name"": ""Roma Mitchell Secondary College"", ""school_distance"": ""4 km"", ""school_types"": ""U, 7-12"", ""href"": ""https://www.domain.com.au/school-catchment/roma-mitchell-secondary-college-sa-5094-6893""}, {""school_name"": ""Blair Athol North B-6 School"", ""school_distance"": ""1.9 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/blair-athol-north-b7-school-sa-5084-6935""}, {""school_name"": ""Enfield Primary School"", ""school_distance"": ""2.3 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/enfield-primary-school-sa-5085-7022""}]",550000,KILBURN,5084,595000.0,595.0,2.2037037037037037
1271,143.0,2.0,4.0,2.0,"Saturday, 11:45am","$595,000-$635,000",House,Vince Tropepe,"[{""school_name"": ""Hampstead Primary School"", ""school_distance"": ""0.8 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/hampstead-primary-school-sa-5086-7079""}, {""school_name"": ""Roma Mitchell Secondary College"", ""school_distance"": ""2.3 km"", ""school_types"": ""U, 7-12"", ""href"": ""https://www.domain.com.au/school-catchment/roma-mitchell-secondary-college-sa-5094-6893""}, {""school_name"": ""St Martin's Catholic Primary School"", ""school_distance"": ""0.5 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/schools/st-martins-parish-primary-school-sa-5086-7395""}]",550000,LIGHTSVIEW,5085,615000.0,615.0,4.300699300699301
1273,143.0,2.0,3.0,1.0,Organise an inspection,"$585,000 - $625,000",House,Theon Bruse,"[{""school_name"": ""Roma Mitchell Secondary College"", ""school_distance"": ""2.3 km"", ""school_types"": ""U, 7-12"", ""href"": ""https://www.domain.com.au/school-catchment/roma-mitchell-secondary-college-sa-5094-6893""}, {""school_name"": ""Blair Athol North B-6 School"", ""school_distance"": ""0.1 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/blair-athol-north-b7-school-sa-5084-6935""}, {""school_name"": ""Enfield Primary School"", ""school_distance"": ""1.4 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/enfield-primary-school-sa-5085-7022""}]",550000,BLAIR ATHOL,5084,605000.0,605.0,4.230769230769231
1275,143.0,2.0,3.0,1.0,Organise an inspection,"$555,000",Townhouse,Theon Bruse,"[{""school_name"": ""Roma Mitchell Secondary College"", ""school_distance"": ""2.4 km"", ""school_types"": ""U, 7-12"", ""href"": ""https://www.domain.com.au/school-catchment/roma-mitchell-secondary-college-sa-5094-6893""}, {""school_name"": ""Blair Athol North B-6 School"", ""school_distance"": ""0.3 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/blair-athol-north-b7-school-sa-5084-6935""}, {""school_name"": ""Enfield Primary School"", ""school_distance"": ""1.1 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/enfield-primary-school-sa-5085-7022""}]",550000,BLAIR ATHOL,5084,555000.0,555.0,3.8811188811188813
1278,250.0,2.0,3.0,2.0,Organise an inspection,"$560,453",New House & Land,Jason Loizou,"[{""school_name"": ""Modbury South Primary School"", ""school_distance"": ""1.3 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/modbury-south-primary-school-sa-5090-7196""}, {""school_name"": ""Avenues College"", ""school_distance"": ""3.1 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/avenues-college-sa-5087-6860""}, {""school_name"": ""Modbury High School"", ""school_distance"": ""1.4 km"", ""school_types"": ""7-12"", ""href"": ""https://www.domain.com.au/school-catchment/modbury-high-school-sa-5092-6855""}]",550000,HOLDEN HILL,5088,560453.0,560.453,2.241812
1279,250.0,2.0,3.0,1.0,Organise an inspection,"$560,453",New House & Land,Jason Loizou,"[{""school_name"": ""Modbury South Primary School"", ""school_distance"": ""1.2 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/modbury-south-primary-school-sa-5090-7196""}, {""school_name"": ""Avenues College"", ""school_distance"": ""3.1 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/avenues-college-sa-5087-6860""}, {""school_name"": ""Modbury High School"", ""school_distance"": ""1.4 km"", ""school_types"": ""7-12"", ""href"": ""https://www.domain.com.au/school-catchment/modbury-high-school-sa-5092-6855""}]",550000,HOLDEN HILL,5088,560453.0,560.453,2.241812
1285,241.0,2.0,3.0,1.0,Organise an inspection,"House and Land from $574,866",New House & Land,,"[{""school_name"": ""Avenues College"", ""school_distance"": ""2.2 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/avenues-college-sa-5087-6860""}, {""school_name"": ""Wandana Primary School"", ""school_distance"": ""1.3 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/wandana-primary-school-sa-5086-7467""}, {""school_name"": ""Dernancourt School"", ""school_distance"": ""1.4 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/dernancourt-primary-school-sa-5075-6994""}]",550000,HOLDEN HILL,5088,574866.0,574.866,2.385336099585062
1307,808.0,2.0,3.0,3.0,Organise an inspection,"$595,000 - $650,000",Vacant land,Tom Chapman,"[{""school_name"": ""Northfield Primary School"", ""school_distance"": ""0.4 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/northfield-primary-school-sa-5085-7245""}, {""school_name"": ""Roma Mitchell Secondary College"", ""school_distance"": ""0.6 km"", ""school_types"": ""U, 7-12"", ""href"": ""https://www.domain.com.au/school-catchment/roma-mitchell-secondary-college-sa-5094-6893""}, {""school_name"": ""St Gabriel's School"", ""school_distance"": ""1.1 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/schools/st-gabriels-school-sa-5085-49735""}]",550000,CLEARVIEW,5085,622500.0,622.5,0.7704207920792079
1308,808.0,2.0,3.0,1.0,Organise an inspection,"$595,000 - $645,000",Townhouse,Jimmy Wu,"[{""school_name"": ""Hampstead Primary School"", ""school_distance"": ""1 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/hampstead-primary-school-sa-5086-7079""}, {""school_name"": ""Roma Mitchell Secondary College"", ""school_distance"": ""2.3 km"", ""school_types"": ""U, 7-12"", ""href"": ""https://www.domain.com.au/school-catchment/roma-mitchell-secondary-college-sa-5094-6893""}, {""school_name"": ""St Martin's Catholic Primary School"", ""school_distance"": ""0.5 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/schools/st-martins-parish-primary-school-sa-5086-7395""}]",550000,LIGHTSVIEW,5085,620000.0,620.0,0.7673267326732673
1309,408.0,2.0,4.0,2.0,Organise an inspection,"$600,000",New House & Land,Brandon Lague,"[{""school_name"": ""Avenues College"", ""school_distance"": ""1.7 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/avenues-college-sa-5087-6860""}, {""school_name"": ""Wandana Primary School"", ""school_distance"": ""0.3 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/wandana-primary-school-sa-5086-7467""}, {""school_name"": ""Valley View Secondary School"", ""school_distance"": ""1.4 km"", ""school_types"": ""U, 7-12"", ""href"": ""https://www.domain.com.au/school-catchment/valley-view-secondary-school-sa-5093-6811""}]",550000,GILLES PLAINS,5086,600000.0,600.0,1.4705882352941178
1313,151.0,2.0,4.0,2.0,Organise an inspection,"$575,000 to $600,000",House,Juan Gaviria,"[{""school_name"": ""Hillcrest Primary School"", ""school_distance"": ""0.4 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/hillcrest-primary-school-sa-5086-1919""}, {""school_name"": ""Roma Mitchell Secondary College"", ""school_distance"": ""2.8 km"", ""school_types"": ""U, 7-12"", ""href"": ""https://www.domain.com.au/school-catchment/roma-mitchell-secondary-college-sa-5094-6893""}, {""school_name"": ""St Martin's Catholic Primary School"", ""school_distance"": ""0.8 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/schools/st-martins-parish-primary-school-sa-5086-7395""}]",550000,LIGHTSVIEW,5085,587500.0,587.5,3.890728476821192
1314,151.0,2.0,3.0,2.0,"Wednesday, 5:15pm","$575,000 - $630,000",House,Paul Leombruno,"[{""school_name"": ""Hampstead Primary School"", ""school_distance"": ""0.7 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/hampstead-primary-school-sa-5086-7079""}, {""school_name"": ""Roma Mitchell Secondary College"", ""school_distance"": ""2.5 km"", ""school_types"": ""U, 7-12"", ""href"": ""https://www.domain.com.au/school-catchment/roma-mitchell-secondary-college-sa-5094-6893""}, {""school_name"": ""St Martin's Catholic Primary School"", ""school_distance"": ""0.3 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/schools/st-martins-parish-primary-school-sa-5086-7395""}]",550000,LIGHTSVIEW,5085,602500.0,602.5,3.9900662251655628
1316,710.0,1.0,3.0,1.0,"Wednesday, 5:00pm","$590,000",House,Joe Marriott,"[{""school_name"": ""Roma Mitchell Secondary College"", ""school_distance"": ""2.4 km"", ""school_types"": ""U, 7-12"", ""href"": ""https://www.domain.com.au/school-catchment/roma-mitchell-secondary-college-sa-5094-6893""}, {""school_name"": ""Enfield Primary School"", ""school_distance"": ""0.5 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/enfield-primary-school-sa-5085-7022""}, {""school_name"": ""Blair Athol North B-6 School"", ""school_distance"": ""1.4 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/blair-athol-north-b7-school-sa-5084-6935""}]",550000,ENFIELD,5085,590000.0,590.0,0.8309859154929577
1318,348.0,2.0,3.0,1.0,Organise an inspection,"$598,000",New House & Land,Mario. Iadarola,"[{""school_name"": ""Roma Mitchell Secondary College"", ""school_distance"": ""1.3 km"", ""school_types"": ""U, 7-12"", ""href"": ""https://www.domain.com.au/school-catchment/roma-mitchell-secondary-college-sa-5094-6893""}, {""school_name"": ""Blair Athol North B-6 School"", ""school_distance"": ""1 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/blair-athol-north-b7-school-sa-5084-6935""}, {""school_name"": ""Northfield Primary School"", ""school_distance"": ""1.1 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/northfield-primary-school-sa-5085-7245""}]",550000,ENFIELD,5085,598000.0,598.0,1.7183908045977012
1321,404.0,1.0,3.0,1.0,Organise an inspection,"$589,899 - $607,560*",House,Adelaide Building Consulting,"[{""school_name"": ""Northfield Primary School"", ""school_distance"": ""1 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/northfield-primary-school-sa-5085-7245""}, {""school_name"": ""Roma Mitchell Secondary College"", ""school_distance"": ""1.6 km"", ""school_types"": ""U, 7-12"", ""href"": ""https://www.domain.com.au/school-catchment/roma-mitchell-secondary-college-sa-5094-6893""}, {""school_name"": ""St Gabriel's School"", ""school_distance"": ""1.2 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/schools/st-gabriels-school-sa-5085-49735""}]",550000,CLEARVIEW,5085,598729.5,598.7295,1.4820037128712873
1322,308.0,2.0,3.0,1.0,Organise an inspection,"$589,000",New House & Land,Peter Finocchio,"[{""school_name"": ""Northfield Primary School"", ""school_distance"": ""1 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/northfield-primary-school-sa-5085-7245""}, {""school_name"": ""Roma Mitchell Secondary College"", ""school_distance"": ""1.7 km"", ""school_types"": ""U, 7-12"", ""href"": ""https://www.domain.com.au/school-catchment/roma-mitchell-secondary-college-sa-5094-6893""}, {""school_name"": ""Cedar College"", ""school_distance"": ""1.1 km"", ""school_types"": ""R-12"", ""href"": ""https://www.domain.com.au/schools/cedar-college-sa-5085-6963""}]",550000,NORTHFIELD,5085,589000.0,589.0,1.9123376623376624
1325,308.0,2.0,3.0,1.0,"Wednesday, 5:15pm","$580,000 - $620,000",House,,"[{""school_name"": ""Hampstead Primary School"", ""school_distance"": ""0.2 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/hampstead-primary-school-sa-5086-7079""}, {""school_name"": ""Roma Mitchell Secondary College"", ""school_distance"": ""3.2 km"", ""school_types"": ""U, 7-12"", ""href"": ""https://www.domain.com.au/school-catchment/roma-mitchell-secondary-college-sa-5094-6893""}, {""school_name"": ""St Martin's Catholic Primary School"", ""school_distance"": ""0.6 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/schools/st-martins-parish-primary-school-sa-5086-7395""}]",550000,GREENACRES,5086,600000.0,600.0,1.948051948051948
1326,307.0,1.0,3.0,1.0,"Sunday, 1:20pm","$599,000-$649,000",House,Tristian Kennedy,"[{""school_name"": ""Avenues College"", ""school_distance"": ""1.4 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/avenues-college-sa-5087-6860""}, {""school_name"": ""Wandana Primary School"", ""school_distance"": ""0.4 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/wandana-primary-school-sa-5086-7467""}, {""school_name"": ""Valley View Secondary School"", ""school_distance"": ""1.6 km"", ""school_types"": ""U, 7-12"", ""href"": ""https://www.domain.com.au/school-catchment/valley-view-secondary-school-sa-5093-6811""}]",550000,GILLES PLAINS,5086,624000.0,624.0,2.03257328990228
1328,353.0,2.0,5.0,4.0,Organise an inspection,"$583,000",New House & Land,Mark Donnellan,"[{""school_name"": ""Avenues College"", ""school_distance"": ""1.6 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/avenues-college-sa-5087-6860""}, {""school_name"": ""Wandana Primary School"", ""school_distance"": ""0.2 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/wandana-primary-school-sa-5086-7467""}, {""school_name"": ""Valley View Secondary School"", ""school_distance"": ""1.5 km"", ""school_types"": ""U, 7-12"", ""href"": ""https://www.domain.com.au/school-catchment/valley-view-secondary-school-sa-5093-6811""}]",550000,GILLES PLAINS,5086,583000.0,583.0,1.651558073654391
1333,630.0,1.0,3.0,1.0,"Saturday, 11:15am","$580,000 - $620,000",House,,"[{""school_name"": ""Hampstead Primary School"", ""school_distance"": ""0.6 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/hampstead-primary-school-sa-5086-7079""}, {""school_name"": ""Roma Mitchell Secondary College"", ""school_distance"": ""2.7 km"", ""school_types"": ""U, 7-12"", ""href"": ""https://www.domain.com.au/school-catchment/roma-mitchell-secondary-college-sa-5094-6893""}, {""school_name"": ""St Martin's Catholic Primary School"", ""school_distance"": ""0.2 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/schools/st-martins-parish-primary-school-sa-5086-7395""}]",550000,GREENACRES,5086,600000.0,600.0,0.9523809523809523
1481,372.0,2.0,4.0,2.0,Organise an inspection,"$643,499 - $661,560*",House,Adelaide Building Consulting,"[{""school_name"": ""Athelstone School"", ""school_distance"": ""0.5 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/athelstone-junior-primary-school-sa-5076-6917""}, {""school_name"": ""Thorndon Park Primary School"", ""school_distance"": ""1.4 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/thorndon-park-primary-school-sa-5076-7442""}, {""school_name"": ""Charles Campbell College"", ""school_distance"": ""2.4 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/charles-campbell-college-sa-5075-6806""}]",600000,ATHELSTONE,5076,652529.5,652.5295,1.754111559139785
1483,336.0,2.0,3.0,1.0,Organise an inspection,"$607,989 - $625,560*",House,Adelaide Building Consulting,"[{""school_name"": ""Charles Campbell College"", ""school_distance"": ""1 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/charles-campbell-college-sa-5075-6806""}, {""school_name"": ""East Marden Primary School"", ""school_distance"": ""1 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/east-marden-primary-school-sa-5074-6999""}, {""school_name"": ""Adelaide East Education Centre"", ""school_distance"": ""1 km"", ""school_types"": ""U"", ""href"": ""https://www.domain.com.au/school-catchment/adelaide-east-education-centre-sa-5075-49559""}]",600000,CAMPBELLTOWN,5074,616774.5,616.7745,1.835638392857143
1484,128.0,1.0,3.0,2.0,Organise an inspection,"$650,000 - $700,000",Apartment / Unit / Flat,Tony D'angelica,"[{""school_name"": ""East Torrens Primary School"", ""school_distance"": ""0.8 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/east-torrens-primary-school-sa-5073-7002""}, {""school_name"": ""Norwood Morialta High School - Middle Campus - Morialta"", ""school_distance"": ""1.4 km"", ""school_types"": "",Government"", ""href"": ""https://www.domain.com.au/school-catchment/norwood-morialta-high-school-sa-5073-10828""}, {""school_name"": ""Norwood Morialta High School - Senior Campus"", ""school_distance"": ""2.4 km"", ""school_types"": "",Government"", ""href"": ""https://www.domain.com.au/school-catchment/norwood-morialta-high-school-senior-campus-sa-5072-50490""}]",600000,HECTORVILLE,5073,675000.0,675.0,5.2734375
1486,353.0,2.0,4.0,1.0,Organise an inspection,"$650,000",New House & Land,Peter Finocchio,"[{""school_name"": ""Dernancourt School"", ""school_distance"": ""0.6 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/dernancourt-primary-school-sa-5075-6994""}, {""school_name"": ""Avenues College"", ""school_distance"": ""1.3 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/avenues-college-sa-5087-6860""}, {""school_name"": ""Adelaide East Education Centre"", ""school_distance"": ""0.8 km"", ""school_types"": ""U"", ""href"": ""https://www.domain.com.au/school-catchment/adelaide-east-education-centre-sa-5075-49559""}]",600000,DERNANCOURT,5075,650000.0,650.0,1.841359773371105
1487,353.0,2.0,3.0,2.0,Organise an inspection,"$619,000",New House & Land,Peter Finocchio,"[{""school_name"": ""Dernancourt School"", ""school_distance"": ""0.7 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/dernancourt-primary-school-sa-5075-6994""}, {""school_name"": ""Avenues College"", ""school_distance"": ""1.3 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/avenues-college-sa-5087-6860""}, {""school_name"": ""Adelaide East Education Centre"", ""school_distance"": ""0.8 km"", ""school_types"": ""U"", ""href"": ""https://www.domain.com.au/school-catchment/adelaide-east-education-centre-sa-5075-49559""}]",600000,DERNANCOURT,5075,619000.0,619.0,1.753541076487252
1488,353.0,2.0,3.0,1.0,"Wednesday, 5:15pm","$650,000 TO $715,000",House,Genny Liang,"[{""school_name"": ""Charles Campbell College"", ""school_distance"": ""0.5 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/charles-campbell-college-sa-5075-6806""}, {""school_name"": ""Adelaide East Education Centre"", ""school_distance"": ""0.4 km"", ""school_types"": ""U"", ""href"": ""https://www.domain.com.au/school-catchment/adelaide-east-education-centre-sa-5075-49559""}, {""school_name"": ""Dernancourt School"", ""school_distance"": ""1 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/dernancourt-primary-school-sa-5075-6994""}]",600000,PARADISE,5075,682500.0,682.5,1.93342776203966
1489,368.0,1.0,3.0,2.0,Organise an inspection,"$650,000",New House & Land,Rob de Donatis,"[{""school_name"": ""Thorndon Park Primary School"", ""school_distance"": ""0.8 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/thorndon-park-primary-school-sa-5076-7442""}, {""school_name"": ""Charles Campbell College"", ""school_distance"": ""2.5 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/charles-campbell-college-sa-5075-6806""}, {""school_name"": ""Adelaide East Education Centre"", ""school_distance"": ""2.6 km"", ""school_types"": ""U"", ""href"": ""https://www.domain.com.au/school-catchment/adelaide-east-education-centre-sa-5075-49559""}]",600000,ATHELSTONE,5076,650000.0,650.0,1.766304347826087
1491,335.0,2.0,3.0,2.0,Organise an inspection,"$630,000 - $650,000",House,Stephen Briffa,"[{""school_name"": ""Charles Campbell College"", ""school_distance"": ""0.6 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/charles-campbell-college-sa-5075-6806""}, {""school_name"": ""Adelaide East Education Centre"", ""school_distance"": ""0.5 km"", ""school_types"": ""U"", ""href"": ""https://www.domain.com.au/school-catchment/adelaide-east-education-centre-sa-5075-49559""}, {""school_name"": ""Dernancourt School"", ""school_distance"": ""1.4 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/dernancourt-primary-school-sa-5075-6994""}]",600000,PARADISE,5075,640000.0,640.0,1.9104477611940298
1494,335.0,3.0,3.0,1.0,Organise an inspection,"$625,000",House,Christopher Crosby,"[{""school_name"": ""Adelaide Botanic High School"", ""school_distance"": ""4.8 km"", ""school_types"": ""7-12"", ""href"": ""https://www.domain.com.au/school-catchment/adelaide-botanic-high-school-sa-5000-52576""}, {""school_name"": ""Adelaide High School"", ""school_distance"": ""5.3 km"", ""school_types"": ""U, 7-12"", ""href"": ""https://www.domain.com.au/school-catchment/adelaide-high-school-sa-5000-6804""}, {""school_name"": ""Prospect Primary School"", ""school_distance"": ""1 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/prospect-primary-school-sa-5082-6864""}]",600000,PROSPECT,5082,625000.0,625.0,1.8656716417910448
