,area,baths,beds,parking,date,price,property_type,agent_name,school_list,agent_low_price,village_name,number,clean_price,price_k,price_per_m^2
387,986.0,1.0,2.0,1.0,"Wednesday, 5:00pm","$315,000 - $345,000",Apartment / Unit / Flat,Ilana De Palma,"[{""school_name"": ""Dernancourt School"", ""school_distance"": ""0.6 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/dernancourt-primary-school-sa-5075-6994""}, {""school_name"": ""Avenues College"", ""school_distance"": ""1.8 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/avenues-college-sa-5087-6860""}, {""school_name"": ""Adelaide East Education Centre"", ""school_distance"": ""1.9 km"", ""school_types"": ""U"", ""href"": ""https://www.domain.com.au/school-catchment/adelaide-east-education-centre-sa-5075-49559""}]",300000,HOLDEN HILL,5088,330000.0,330.0,0.33468559837728196
388,320.0,1.0,3.0,1.0,Organise an inspection,"$345,000 - $375,000",Vacant land,Surinder Singh,"[{""school_name"": ""Hillcrest Primary School"", ""school_distance"": ""0.4 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/hillcrest-primary-school-sa-5086-1919""}, {""school_name"": ""Roma Mitchell Secondary College"", ""school_distance"": ""3.3 km"", ""school_types"": ""U, 7-12"", ""href"": ""https://www.domain.com.au/school-catchment/roma-mitchell-secondary-college-sa-5094-6893""}, {""school_name"": ""St Martin's Catholic Primary School"", ""school_distance"": ""0.7 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/schools/st-martins-parish-primary-school-sa-5086-7395""}]",300000,GREENACRES,5086,360000.0,360.0,1.125
389,357.0,2.0,3.0,1.0,Organise an inspection,"$349,000 - $379,000",Vacant land,Brad Stevens,"[{""school_name"": ""Avenues College"", ""school_distance"": ""2.1 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/avenues-college-sa-5087-6860""}, {""school_name"": ""Wandana Primary School"", ""school_distance"": ""1.2 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/wandana-primary-school-sa-5086-7467""}, {""school_name"": ""Dernancourt School"", ""school_distance"": ""1.3 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/dernancourt-primary-school-sa-5075-6994""}]",300000,HOLDEN HILL,5088,364000.0,364.0,1.0196078431372548
392,357.0,1.0,1.0,,Organise an inspection,"$340,000 - $360,000",Vacant land,,"[{""school_name"": ""Dernancourt School"", ""school_distance"": ""1 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/dernancourt-primary-school-sa-5075-6994""}, {""school_name"": ""Avenues College"", ""school_distance"": ""1.7 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/avenues-college-sa-5087-6860""}, {""school_name"": ""Adelaide East Education Centre"", ""school_distance"": ""2.3 km"", ""school_types"": ""U"", ""href"": ""https://www.domain.com.au/school-catchment/adelaide-east-education-centre-sa-5075-49559""}]",300000,HOLDEN HILL,5088,350000.0,350.0,0.9803921568627451
405,346.0,1.0,2.0,1.0,"Saturday, 10:20am","$320,000 - $350,000",Apartment / Unit / Flat,Rajwant Singh,"[{""school_name"": ""Roma Mitchell Secondary College"", ""school_distance"": ""2 km"", ""school_types"": ""U, 7-12"", ""href"": ""https://www.domain.com.au/school-catchment/roma-mitchell-secondary-college-sa-5094-6893""}, {""school_name"": ""Enfield Primary School"", ""school_distance"": ""1.2 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/enfield-primary-school-sa-5085-7022""}, {""school_name"": ""Northfield Primary School"", ""school_distance"": ""1.4 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/northfield-primary-school-sa-5085-7245""}]",300000,CLEARVIEW,5085,335000.0,335.0,0.9682080924855492
406,373.0,2.0,4.0,2.0,Organise an inspection,"$349,000 - $379,000",Vacant land,,"[{""school_name"": ""Roma Mitchell Secondary College"", ""school_distance"": ""1.3 km"", ""school_types"": ""U, 7-12"", ""href"": ""https://www.domain.com.au/school-catchment/roma-mitchell-secondary-college-sa-5094-6893""}, {""school_name"": ""Blair Athol North B-6 School"", ""school_distance"": ""1 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/blair-athol-north-b7-school-sa-5084-6935""}, {""school_name"": ""Northfield Primary School"", ""school_distance"": ""1.1 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/northfield-primary-school-sa-5085-7245""}]",300000,ENFIELD,5085,364000.0,364.0,0.9758713136729222
407,468.0,,,,Organise an inspection,"$350,000 - $385,000",Vacant land,Damien Fong,"[{""school_name"": ""Roma Mitchell Secondary College"", ""school_distance"": ""1.6 km"", ""school_types"": ""U, 7-12"", ""href"": ""https://www.domain.com.au/school-catchment/roma-mitchell-secondary-college-sa-5094-6893""}, {""school_name"": ""Blair Athol North B-6 School"", ""school_distance"": ""0.6 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/blair-athol-north-b7-school-sa-5084-6935""}, {""school_name"": ""Northfield Primary School"", ""school_distance"": ""1.7 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/northfield-primary-school-sa-5085-7245""}]",300000,ENFIELD,5085,367500.0,367.5,0.7852564102564102
558,293.0,1.0,2.0,2.0,Organise an inspection,$375k - $412k,Apartment / Unit / Flat,Leah Chandler,"[{""school_name"": ""East Adelaide School"", ""school_distance"": ""1.2 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/east-adelaide-school-sa-5069-6815""}, {""school_name"": ""Vale Park Primary School"", ""school_distance"": ""1.5 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/vale-park-primary-school-sa-5081-7456""}, {""school_name"": ""Marryatville High School"", ""school_distance"": ""3.7 km"", ""school_types"": ""7-12"", ""href"": ""https://www.domain.com.au/school-catchment/marryatville-high-school-sa-5068-6807""}]",350000,MARDEN,5070,393500.0,393.5,1.3430034129692834
559,305.0,2.0,3.0,2.0,Organise an inspection,"$355,000",House,Stephen Neal,"[{""school_name"": ""East Marden Primary School"", ""school_distance"": ""1.1 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/east-marden-primary-school-sa-5074-6999""}, {""school_name"": ""Charles Campbell College"", ""school_distance"": ""3.1 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/charles-campbell-college-sa-5075-6806""}, {""school_name"": ""Marden Senior College"", ""school_distance"": ""0.9 km"", ""school_types"": ""U, 11-12"", ""href"": ""https://www.domain.com.au/school-catchment/marden-senior-college-sa-5070-7172""}]",350000,FELIXSTOW,5070,355000.0,355.0,1.1639344262295082
560,372.0,2.0,3.0,1.0,Organise an inspection,"$365,000 - $370,000",Vacant land,Bradley Foster,"[{""school_name"": ""Athelstone School"", ""school_distance"": ""0.4 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/athelstone-junior-primary-school-sa-5076-6917""}, {""school_name"": ""Charles Campbell College"", ""school_distance"": ""2.9 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/charles-campbell-college-sa-5075-6806""}, {""school_name"": ""Adelaide East Education Centre"", ""school_distance"": ""2.9 km"", ""school_types"": ""U"", ""href"": ""https://www.domain.com.au/school-catchment/adelaide-east-education-centre-sa-5075-49559""}]",350000,ATHELSTONE,5076,367500.0,367.5,0.9879032258064516
561,362.0,1.0,3.0,8.0,Organise an inspection,$380K - $410K,Vacant land,Matthew Anand,"[{""school_name"": ""Athelstone School"", ""school_distance"": ""0.3 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/athelstone-junior-primary-school-sa-5076-6917""}, {""school_name"": ""Charles Campbell College"", ""school_distance"": ""2.8 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/charles-campbell-college-sa-5075-6806""}, {""school_name"": ""Adelaide East Education Centre"", ""school_distance"": ""2.8 km"", ""school_types"": ""U"", ""href"": ""https://www.domain.com.au/school-catchment/adelaide-east-education-centre-sa-5075-49559""}]",350000,ATHELSTONE,5076,395000.0,395.0,1.091160220994475
562,342.0,2.0,3.0,2.0,Organise an inspection,"$389,000 - $409,000",Vacant land,,"[{""school_name"": ""Thorndon Park Primary School"", ""school_distance"": ""1.2 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/thorndon-park-primary-school-sa-5076-7442""}, {""school_name"": ""Charles Campbell College"", ""school_distance"": ""1.6 km"", ""school_types"": ""U, R-12"", ""href"": ""https://www.domain.com.au/school-catchment/charles-campbell-college-sa-5075-6806""}, {""school_name"": ""Norwood Morialta High School - Middle Campus - Morialta"", ""school_distance"": ""1.5 km"", ""school_types"": "",Government"", ""href"": ""https://www.domain.com.au/school-catchment/norwood-morialta-high-school-sa-5073-10828""}]",350000,NEWTON,5074,399000.0,399.0,1.1666666666666667
