area,baths,beds,parking,date,main_img,price,address,property_type,agent_name,company_name,logo,maps,check_date,auction_date,school_list,url,village_name,DOMAINSAYS,number,agent_low_price
"1,254m²",2.0,5.0,5.0,Organise an inspection,https://rimh2.domainstatic.com.au/BRrgfz5O7rnTzMSEOwR2ZsgrRLs=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/2018468957_1_1_230411_010347-w4500-h3000,"Best offers by Monday 1st May, 3pm (USP)",34 Columbia Avenue Clapham SA 5062,House,Chris & Sonja Dunbar,Tanner Real Estate,,"-34.9927324,138.6066627",,,"[{""school_name"": ""Clapham Primary School"", ""school_distance"": ""0.3 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/clapham-primary-school-sa-5062-6969""}, {""school_name"": ""Springbank Secondary College"", ""school_distance"": ""1.5 km"", ""school_types"": ""U, 7-12"", ""href"": ""https://www.domain.com.au/school-catchment/springbank-secondary-college-sa-5042-6839""}, {""school_name"": ""Unley High School"", ""school_distance"": ""2.8 km"", ""school_types"": ""7-12"", ""href"": ""https://www.domain.com.au/school-catchment/unley-high-school-sa-5062-6859""}]",https://www.domain.com.au/34-columbia-avenue-clapham-sa-5062-2018468957,CLAPHAM,"First listed on 11 April, this house has been on Domain for 8 days (last updated on 11 April). It was last sold in 2015 and12 other 4 bedroom housein Clapham have recently been sold. There are currently2 properties for salein Clapham.",5062,950000
"1,200m²",2.0,4.0,3.0,Organise an inspection,https://rimh2.domainstatic.com.au/v2TbdkpkuybuugowNRo-HN9mIw0=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/2018404727_1_1_230308_054440-w1600-h1067,$1m - $1.1m,29 Seaview Road Lynton SA 5062,House,James Robertson,Ouwens Casserly ,,"-34.9968195,138.6072404",,,"[{""school_name"": ""Clapham Primary School"", ""school_distance"": ""0.4 km"", ""school_types"": ""U, R-6"", ""href"": ""https://www.domain.com.au/school-catchment/clapham-primary-school-sa-5062-6969""}, {""school_name"": ""Unley High School"", ""school_distance"": ""3.2 km"", ""school_types"": ""7-12"", ""href"": ""https://www.domain.com.au/school-catchment/unley-high-school-sa-5062-6859""}, {""school_name"": ""St John's Grammar School - Sheoak Road Campus"", ""school_distance"": ""1.3 km"", ""school_types"": "",Private"", ""href"": ""https://www.domain.com.au/schools/st-johns-grammar-school-sheoak-road-campus-sa-5052-49786""}]",https://www.domain.com.au/29-seaview-road-lynton-sa-5062-2018404727,LYNTON,"29 Seaview Road, Lynton SA 5062 was last sold in 2012 and5 other 4 bedroom housein Lynton have recently been sold. There are currently1 properties for salein Lynton.",5062,950000
142m²,3.0,4.0,2.0,Organise an inspection,https://rimh2.domainstatic.com.au/fSptyHcIMqZZZLErjD9OT_lAA0s=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/2018446014_1_1_230328_050259-w2904-h1963,"$1,000,000",339 Fullarton Road Parkside SA 5063,House,John McRostie,Belle Property Unley,,"-34.9519141,138.625201","Saturday, 22 Apr ;11:00am",,"[{""school_name"": ""Parkside Primary School"", ""school_distance"": ""0.9 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/parkside-primary-school-sa-5063-6831""}, {""school_name"": ""Glenunga International High School"", ""school_distance"": ""1 km"", ""school_types"": ""7-12"", ""href"": ""https://www.domain.com.au/school-catchment/glenunga-international-high-school-sa-5064-6889""}, {""school_name"": ""Sunrise Christian School Fullarton"", ""school_distance"": ""0.4 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/schools/sunrise-christian-school-sa-5063-11137""}]",https://www.domain.com.au/339-fullarton-road-parkside-sa-5063-2018446014,PARKSIDE,"First listed on 28 March, this house has been on Domain for 21 days. It was last sold in 2021 and45 other 3 bedroom housein Parkside have recently been sold. There are currently5 properties for salein Parkside.",5063,950000
,1.0,3.0,2.0,Organise an inspection,https://rimh2.domainstatic.com.au/mTUlLYmLBkDaTXksSDn_Mv6EpXw=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/2018353332_1_1_230214_063353-w2000-h1333,"Best Offer by 5pm, 17th April",65 Hallett Road Burnside SA 5066,House,Eric Jem,Belle Property Norwood,,"-34.9354429,138.6685959",,,"[{""school_name"": ""Burnside Primary School"", ""school_distance"": ""0.6 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/burnside-primary-school-sa-5066-6808""}, {""school_name"": ""Norwood Morialta High School - Senior Campus"", ""school_distance"": ""2 km"", ""school_types"": ""7-12"", ""href"": ""https://www.domain.com.au/school-catchment/norwood-morialta-high-school-senior-campus-sa-5072-50490""}, {""school_name"": ""Norwood International High School"", ""school_distance"": ""2 km"", ""school_types"": ""7-12"", ""href"": ""https://www.domain.com.au/school-catchment/norwood-morialta-high-school-sa-5072-49470""}]",https://www.domain.com.au/65-hallett-road-burnside-sa-5066-2018353332,BURNSIDE,"65 Hallett Road, Burnside SA 5066 was last sold in 2014 and23 other 3 bedroom housein Burnside have recently been sold. There are currently3 properties for salein Burnside.",5066,950000
681m²,1.0,3.0,2.0,Organise an inspection,https://rimh2.domainstatic.com.au/Wj5qHux0zBGu7sZdnWm15ngbneU=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/2018311852_1_1_230125_041036-w1500-h1000,CONTACT AGENT,6A Lascelles Avenue Beaumont SA 5066,Vacant land,Rupinder Singh,Harcourts St Peters,,"-34.9541238,138.6541376",,,"[{""school_name"": ""Linden Park Primary School"", ""school_distance"": ""1 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/linden-park-junior-primary-school-sa-5065-6823""}, {""school_name"": ""Glenunga International High School"", ""school_distance"": ""1.8 km"", ""school_types"": ""7-12"", ""href"": ""https://www.domain.com.au/school-catchment/glenunga-international-high-school-sa-5064-6889""}, {""school_name"": ""Seymour College"", ""school_distance"": ""0.8 km"", ""school_types"": ""R-12"", ""href"": ""https://www.domain.com.au/schools/seymour-college-sa-5064-7359""}]",https://www.domain.com.au/6a-lascelles-avenue-beaumont-sa-5066-2018311852,BEAUMONT,,5066,950000
488m²,2.0,3.0,2.0,Organise an inspection,https://rimh2.domainstatic.com.au/cJyFdB4_Y2BFnQ6pX5pCoZsHmgk=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/2017938923_1_1_220715_091110-w4000-h3000,"$1,000,000 to $1,100,000",D1&D2/25 Fifeshire Avenue St Georges SA 5064,Vacant land,Jacky Yang,Raine & Horne Unley,,"-34.9507965,138.6492071",,,"[{""school_name"": ""Linden Park Primary School"", ""school_distance"": ""0.5 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/linden-park-junior-primary-school-sa-5065-6823""}, {""school_name"": ""Glenunga International High School"", ""school_distance"": ""1.3 km"", ""school_types"": ""7-12"", ""href"": ""https://www.domain.com.au/school-catchment/glenunga-international-high-school-sa-5064-6889""}, {""school_name"": ""Seymour College"", ""school_distance"": ""0.6 km"", ""school_types"": ""R-12"", ""href"": ""https://www.domain.com.au/schools/seymour-college-sa-5064-7359""}]",https://www.domain.com.au/d1-d2-25-fifeshire-avenue-st-georges-sa-5064-2017938923,ST GEORGES,,5064,950000
,2.0,3.0,4.0,Organise an inspection,https://rimh2.domainstatic.com.au/w3BvjQiooUzlPNIqGBvShqXQP14=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/2018011351_1_1_220818_025634-w1153-h631,Contact Agent,16 & 18 Cotham Avenue Kensington Park SA 5068,House,Alexi Broikos,REFINED REAL ESTATE - RLA 217949,,"-34.9160547,138.6580488",,,"[{""school_name"": ""Marryatville Primary School"", ""school_distance"": ""1.2 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/marryatville-primary-school-sa-5068-6830""}, {""school_name"": ""Norwood Morialta High School - Senior Campus"", ""school_distance"": ""1.3 km"", ""school_types"": ""7-12"", ""href"": ""https://www.domain.com.au/school-catchment/norwood-morialta-high-school-senior-campus-sa-5072-50490""}, {""school_name"": ""Norwood International High School"", ""school_distance"": ""1.3 km"", ""school_types"": ""7-12"", ""href"": ""https://www.domain.com.au/school-catchment/norwood-morialta-high-school-sa-5072-49470""}]",https://www.domain.com.au/16-18-cotham-avenue-kensington-park-sa-5068-2018011351,KENSINGTON PARK,13 other 3 bedroom housein Kensington Park have recently been sold. There are currently5 properties for salein Kensington Park.,5068,950000
433m²,2.0,3.0,2.0,"Saturday, 11:30am",https://rimh2.domainstatic.com.au/N3PiLNWwIuG3lbowEZK9u1A6scY=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/2018341195_1_1_230208_052908-w1600-h1067,$990k - $1.05m,26 Myall Avenue Kensington Gardens SA 5068,House,Damien Willis,Ouwens Casserly ,,"-34.9212788,138.6605443","Saturday, 22 Apr ;11:30am - 12:00pm",,"[{""school_name"": ""Norwood Morialta High School - Senior Campus"", ""school_distance"": ""1.1 km"", ""school_types"": ""7-12"", ""href"": ""https://www.domain.com.au/school-catchment/norwood-morialta-high-school-senior-campus-sa-5072-50490""}, {""school_name"": ""Norwood International High School"", ""school_distance"": ""1.1 km"", ""school_types"": ""7-12"", ""href"": ""https://www.domain.com.au/school-catchment/norwood-morialta-high-school-sa-5072-49470""}, {""school_name"": ""Burnside Primary School"", ""school_distance"": ""1.6 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/burnside-primary-school-sa-5066-6808""}]",https://www.domain.com.au/26-myall-avenue-kensington-gardens-sa-5068-2018341195,KENSINGTON GARDENS,"26 Myall Avenue, Kensington Gardens SA 5068 was last sold in 2004 and9 other 3 bedroom housein Kensington Gardens have recently been sold. There are currently1 properties for salein Kensington Gardens.",5068,950000
422m²,3.0,4.0,2.0,"Saturday, 12:30pm",https://rimh2.domainstatic.com.au/W4WY45l3UTwelAuC9sZ6psAqjKE=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/2018471822_1_1_230412_011126-w4242-h2828,$975k-$1.065m,24A Sturdee Street Linden Park SA 5065,House,Daniel Oliver,Harris Real Estate - RLA 226409,,"-34.9454193,138.6461522","Saturday, 22 Apr ;12:30pm - 1:00pm","Sunday, 23 Apr ;1:00pm - 1:30pm","[{""school_name"": ""Linden Park Primary School"", ""school_distance"": ""0.3 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/linden-park-junior-primary-school-sa-5065-6823""}, {""school_name"": ""Glenunga International High School"", ""school_distance"": ""1.1 km"", ""school_types"": ""7-12"", ""href"": ""https://www.domain.com.au/school-catchment/glenunga-international-high-school-sa-5064-6889""}, {""school_name"": ""Seymour College"", ""school_distance"": ""1.2 km"", ""school_types"": ""R-12"", ""href"": ""https://www.domain.com.au/schools/seymour-college-sa-5064-7359""}]",https://www.domain.com.au/24a-sturdee-street-linden-park-sa-5065-2018471822,LINDEN PARK,"First listed on 12 April, this house has been on Domain for 7 days. It was last sold in 1995 and20 other 3 bedroom housein Linden Park have recently been sold. There are currently3 properties for salein Linden Park.",5065,950000
,1.0,2.0,1.0,"Saturday, 11:00am",https://rimh2.domainstatic.com.au/5JZORw8yY_ZuJOvLgdsJk5r4PXo=/fit-in/1920x1080/filters:format(jpeg):quality(80):no_upscale()/2018481121_1_1_230417_041840-w6000-h4000,Best Offer By 8/5 (USP),2A Ronald Terrace Glenelg North SA 5045,House,Rhys Digance,Belle Property Glenelg,,"-34.9744008,138.5295007","Saturday, 22 Apr ;11:00am - 11:30am",,"[{""school_name"": ""St Leonards Primary School"", ""school_distance"": ""0.9 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/st-leonards-primary-school-sa-5045-11205""}, {""school_name"": ""Plympton International College"", ""school_distance"": ""2 km"", ""school_types"": ""R-12"", ""href"": ""https://www.domain.com.au/school-catchment/plympton-international-college-sa-5038-6886""}, {""school_name"": ""Plympton Primary School"", ""school_distance"": ""2.9 km"", ""school_types"": ""R-6"", ""href"": ""https://www.domain.com.au/school-catchment/plympton-primary-school-sa-5038-7288""}]",https://www.domain.com.au/2a-ronald-terrace-glenelg-north-sa-5045-2018481121,GLENELG NORTH,"First listed on 17 April, this house has been on Domain for 1 day (last updated on 17 April). It was last sold in 2018 and46 other 3 bedroom housein Glenelg North have recently been sold. There are currently8 properties for salein Glenelg North.",5045,950000
